judul_film,genre,tahun_rilis,sutradara
Remaja idaman,"
Drama            ",1979,Arizal
Remaja remaja,"
Drama            ",1979,Arizal
"Si Boneka Kayu, Pinokio","
Comedy, Drama, Musical            ",1979,Willy Wilianto
Mana Tahaaan...,"
Comedy            ",1979,Nawi Ismail
Di ujung malam,"
Drama            ",1979,Nico Pelamonia
Karena dia,NA,1979,Nico Pelamonia
Shadow Master,NA,1979,Larry Reed
Kerinduan,"
Drama            ",1979,Danu Umbara
Kabut Sutra Ungu,"
Drama            ",1979,Sjuman Djaya
Guruku cantik sekali,"
Drama            ",1979,Ida Farida
Ach yang Benerrr...,"
Drama            ",1979,Muchlis Raya
Primitif,"
Adventure, Horror            ",1980,Sisworo Gautama Putra
Rembulan dan Matahari,"
Drama            ",1980,Slamet Rahardjo
Mereka Memang Ada,"
Drama            ",1980,Mardaly Sjarif
Perempuan dalam Pasungan,"
Drama            ",1980,Ismail Soebardjo
Bandish,"
Drama            ",1980,Nazrul Islam
Usia 18,"
Drama            ",1980,Teguh Karya
Perjuangan dan Do'a,"
Drama, Musical            ",1980,Alwi A.S.
Bukan sandiwara,"
Drama            ",1980,Sjuman Djaya
Roman Picisan,"
Drama, Romance            ",1980,Adisoerya Abdi
Senyummu Adalah Tangisku,NA,1980,Dasri Jacob
Nikmatnya cinta,NA,1980,Arizal
Pintar Pintar Bodoh,"
Comedy, Drama            ",1980,Arizal
Rayuan Gombal,"
Comedy, Drama            ",1980,Arizal
Aduhai manisnya,NA,1980,Willy Wilianto
Irama cinta,"
Drama            ",1980,Willy Wilianto
Ge Er... Gede Rasa,"
Comedy            ",1980,Nawi Ismail
Gengsi Dong,"
Comedy            ",1980,Nawi Ismail
Permainan bulan desember,NA,1980,Nico Pelamonia
Begadang karena penasaran,"
Drama, Romance            ",1980,Liliek Sudjio
Kembang semusim,"
Drama            ",1980,M.T. Risyaf
Gaya merayu,"
Comedy            ",1980,Wisjnu Mouradhy
Senggol-senggolan,"
Drama            ",1980,Danu Umbara
Beningnya hati seorang gadis,"
Drama            ",1980,Frank Rorimpandey
Nakalnya anak-anak,"
Family            ",1980,Susilo S.W.D.
Cantik,"
Drama            ",1980,Fritz G. Schadt
Goyang dangdut,"
Mystery            ",1980,A. Harris
Manis-manis sombong,"
Comedy            ",1980,Edward Sirait
Aduh aduh mana tahan,"
Drama            ",1980,Susilo S.W.D.
Kau tercipta untukku,NA,1980,Susilo S.W.D.
Busana dalam mimpi,"
Drama            ",1980,Ida Farida
Melodi Cinta Rhoma Irama,"
Drama            ",1980,Muchlis Raya
Abizars,"
Drama            ",1980,A. Harris
Ratapan anak tiri II,NA,1980,Faradilla Sandy
Anak-anak Tak Beribu,NA,1980,Maman Firmansyah
Darna ajaib,"
Fantasy            ",1980,Liliek Sudjio
Buah Hati Mama,"
Drama            ",1980,Sophan Sophiaan
Jaka Sembung,"
Action, Adventure, Fantasy            ",1981,Sisworo Gautama Putra
Mystics in Bali,"
Fantasy, Horror, Thriller            ",1981,H. Tjut Djalil
Steel-Fisted Dragon,"
Action, Drama            ",1981,Iksan Lahardi
Serangan Fajar,"
Drama, War            ",1981,Arifin C. Noer
Di Bawah Lindungan Ka'bah,"
Drama            ",1981,Asrul Sani
Srigala,"
Horror, Thriller            ",1981,Sisworo Gautama Putra
Kabut Ungu di Bibir Pantai,"
Drama, Horror            ",1981,Dasri Jacob
Lembah duka,"
Drama            ",1981,Jopi Burnama
Dalam lingkaran cinta,NA,1981,Susilo S.W.D.
Tali merah perkawinan,NA,1981,Henky Solaiman
Putri seorang jendral,NA,1981,Wim Umboh
Manusia Enam Juta Dollar,NA,1981,Ali Shahab
Betapa damai hati kami,NA,1981,Chaerul Umam
Gadis marathon,NA,1981,Chaerul Umam
Detik-detik cinta menyentuh,"
Drama            ",1981,Ali Shahab
Bila hati perempuan menjerit,"
Drama            ",1981,Arizal
Bodoh-bodoh mujur,"
Comedy, Drama            ",1981,Arizal
Ira Maya Putri Cinderella,"
Comedy, Drama            ",1981,Willy Wilianto
Setan Kredit,"
Comedy            ",1981,Nawi Ismail
IQ Jongkok,"
Comedy            ",1981,Nawi Ismail
Dr. Karmila,"
Drama            ",1981,Nico Pelamonia
Manusia berilmu gai,"
Drama, Mystery            ",1981,Liliek Sudjio
Gundala Putra Petir,"
Action, Sci-Fi            ",1981,Liliek Sudjio
Tomboy,"
Comedy            ",1981,Djun Saptohadi
Bunga cinta kasih,NA,1981,Danu Umbara
Deadly Angels Strike Back,"
Action            ",1981,Danu Umbara
Butir-butir cinta tak bertepi,"
Drama            ",1981,S.A. Karim
Hidup tanpa kehormatan,"
Drama            ",1981,Wim Umboh
Dendam manusia harimau,"
Action            ",1981,Ratno Timoer
Nila di gaun putih,"
Drama            ",1981,Sandy Suwardi Hasan
Merenda hari esok,"
Drama            ",1981,Ida Farida
